Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Age_of_Car,Power_per_Liter,Mileage_per_Seat
5618,BMW 5 Series 520d Sport Line,Delhi,2017,16485,0,1,First,22.48,1995.0,187.74,5.0,42.75,8,8.35,4.5
5672,Hyundai Verna 1.6 CRDi SX,Ahmedabad,2015,60000,0,0,First,23.9,1582.0,126.2,5.0,6.99,10,5.28,4.78
5721,Hyundai Verna 1.6 SX CRDi (O),Pune,2012,89000,0,0,First,22.32,1582.0,126.32,5.0,6.0,13,5.66,4.46
5727,BMW X1 xDrive 20d xLine,Kochi,2018,30733,0,1,First,20.68,1995.0,190.0,5.0,29.3,7,9.19,4.14
5762,Volvo S60 D4 Momentum,Hyderabad,2014,51000,0,1,First,27.03,1969.0,190.0,5.0,21.5,11,7.03,5.41
5779,Volkswagen Vento Konekt Diesel Highline,Chennai,2013,55000,0,0,Second,20.54,1598.0,103.6,5.0,6.1,12,5.04,4.11
5911,Skoda Rapid 1.6 TDI Ambition,Chennai,2012,55000,0,0,First,20.5,1598.0,103.5,5.0,5.9,13,5.05,4.1
5920,Hyundai Verna 1.6 SX,Kochi,2012,58646,0,0,First,22.32,1582.0,126.32,5.0,4.74,13,5.66,4.46
5929,Volkswagen Vento Diesel Highline,Chennai,2011,55595,0,0,Second,20.54,1598.0,103.6,5.0,4.3,14,5.04,4.11
5968,Skoda Rapid Ultima 1.6 TDI Elegance,Hyderabad,2013,55000,0,0,First,20.5,1598.0,103.5,5.0,8.0,12,5.05,4.1
5973,Hyundai Verna 1.6 CRDi EX MT,Kolkata,2013,53280,0,0,First,22.32,1582.0,126.3,5.0,4.7,12,5.66,4.46
